Occupation Title,ESCO Code,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge),
digital games developer,2513.1,"Digital games developers program, implement and document digital games. They implement technical standards in gameplay, graphics, sound and functionality.","digital game developer, computer games developer, virtual games developer, video games developer, games programmer, digital games developers","use software design patterns, debug software, execute analytical mathematical calculations, interpret technical texts, render 3D images, apply 3D imaging techniques, use software libraries, utilise computer-aided software engineering tools, develop software prototype, analyse software specifications","ICT debugging tools, tools for software configuration management, digital game genres, 3D texturing, integrated development environment software, 3D lighting, computer programming","develop creative ideas, use logic programming, adapt to changes in technological development plans, use object-oriented programming, provide technical documentation, create flowchart diagram, use automatic programming, use concurrent programming, design user interface, develop virtual game engine, use functional programming, integrate system components","Perl, Common Lisp, COBOL, trigonometry, Ansible, Java (computer programming), Scala, STAF, Prolog (computer programming), C#, Microsoft Visual C++, Jenkins (tools for software configuration management), Apache Maven, Assembly (computer programming), TypeScript, Scratch (computer programming), C++, APL, Pascal (computer programming), PHP, Puppet (tools for software configuration management), Swift (computer programming), World Wide Web Consortium standards, MATLAB, JavaScript, Xcode, ML (computer programming), KDevelop, VBScript, Python (computer programming), AJAX, Ruby (computer programming), Haskell, SAP R3, Salt (tools for software configuration management), Eclipse (integrated development environment software), Groovy, Objective-C, object-oriented modelling, Lisp, SAS language, software anomalies, ABAP, Internet of Things, Visual Studio .NET, R, ASP.NET, OpenEdge Advanced Business Language",
ICT quality assurance manager,2519.4,"ICT quality assurance managers establish and operate an ICT quality approach through quality management systems, in compliance with internal and external standards and the organisation's culture. They ensure that the management controls are correctly implemented to safeguard asset, data integrity and operations. They focus on the achievement of quality goals, including the maintenance of the external certification according to quality standards and monitor statistics to forecast quality outcomes.","ICT quality manager, ICT test manager, IT quality assurance manager, ICT quality assurance managers, principal test manager, ICT principal testing manager","comply with legal regulations, oversee quality control, perform quality audits, provide software testing documentation, execute software tests, set quality assurance objectives, implement strategic planning, ensure continuous preparedness for audits, attend to ICT systems quality","quality assurance methodologies, quality standards, ICT quality policy, software anomalies, internal risk management policy, ICT process quality models, levels of software testing","identify customer requirements, provide technical training, manage data, develop technological improvement strategies, apply information security policies, use different communication channels, develop information standards, develop automated software tests, define data quality criteria, track key performance indicators, coordinate technological activities","database quality standards, Lean project management, Agile project management, data quality assessment, ICT project management methodologies, usability engineering, ICT security legislation, Process-based management, systems development life-cycle, application usability",
ICT system analyst,2511.12,"ICT system analysts specify the system needs to meet the end user requirements. They analyse system functions in order to define their goals or purposes and to discover operations and procedures for accomplishing them most efficiently. They also design new IT solutions to improve business efficiency and productivity, produce outline designs and estimate costs of new systems, specify the operations the system will perform, and the way data will be viewed by the end user. They present the design to the users and work closely with the users to implement the solution.","IT system analyst, IT systems analyst, network analyst, ICT systems analysts, ICT system analysts, systems analyst, system analyst, ICT systems analyst","identify ICT system weaknesses, interact with users to gather requirements, analyse business processes, identify customer requirements, perform security vulnerability assessments, solve ICT system problems, monitor system performance, apply statistical analysis techniques, manage ICT legacy implication, define technical requirements, design information system, analyse software specifications, manage system testing, analyse ICT system, create data models, analyse the context of an organisation, execute feasibility study","software metrics, ICT performance analysis methods, decision support systems, systems development life-cycle, levels of software testing, software architecture models, online analytical processing, ICT infrastructure","execute analytical mathematical calculations, conduct quantitative research, provide ICT consulting advice","COBOL, LINQ, CoffeeScript, ABAP, TypeScript, OpenEdge Advanced Business Language, Ruby (computer programming), resource description framework query language, service-oriented modelling, object-oriented modelling, ICT process quality models, N1QL, hardware architectures, Outsourcing model, Swift (computer programming), ML (computer programming), Erlang, LDAP, SaaS (service-oriented modelling), Prolog (computer programming), Visual Studio .NET, Microsoft Visual C++, query languages, MDX, MATLAB, XQuery, VBScript, Pascal (computer programming), hardware platforms, C++, Assembly (computer programming), Smalltalk (computer programming), Scratch (computer programming), C#, AJAX, Objective-C, Perl, computer programming, PHP, distributed computing, R, Haskell, Groovy, APL, data mining, Scala, Hybrid model, Python (computer programming), Lisp, JavaScript, Open source model, ASP.NET, SPARQL, SAS language, audit techniques, Common Lisp, unified modelling language, SAP R3, Java (computer programming)",
web content manager,2513.4,"Web content managers curate or create content for a web platform according to the long-term strategic goals, policies and procedures for an organisation's online content or their customers. They control and monitor compliance with standards, legal and privacy regulations and ensure web optimisation. They are also responsible for integrating the work of writers and designers to produce a final layout which is compatible with corporate standards.","web content specialist, digital content, web content curatorspecialist, web content administrators, content curator, content specialist","use markup languages, manage online content, comply with legal regulations, conduct content quality assurance, identify legal requirements, ensure compliance with company regulations, interpret technical texts, use content management system software, utilise content types, manage content metadata, translate requirement concepts into visual design, apply tools for content development, identify customer requirements, create content title, integrate content into output media, ensure compliance with legal requirements, translate requirement concepts into content, compile content, provide multimedia content, conduct search engine optimisation, provide written content","publishing strategy, information structure, web programming, style sheet languages, authoring software, legal requirements of ICT products, content development processes, keywords in digital content","perform online data analysis, proofread text, ensure proper document management, perform copywriting, design digital call to action, provide guidelines for content development, manage content development projects","LESS, AJAX, Sass, PHP, cognitive psychology, World Wide Web Consortium standards, JavaScript, content marketing strategy, JSSS, CSS",
ICT system developer,2511.14,"ICT system developers maintain, audit and improve organisational support systems. They use existing or new technologies to meet particular needs. They test both hardware and software system components, diagnose and resolve system faults.","ICT system developers, ICT systems developer, systems programmer, system developer, component developer, system software developer, chief ICT system developer, ICT systems developers, IT system developer, systems developer","debug software, collect customer feedback on applications, create flowchart diagram, provide technical documentation, interpret technical texts, use software libraries, use software design patterns, develop software prototype, keep up with the latest information systems solutions, solve ICT system problems, analyse software specifications, develop automated migration methods, migrate existing data","integrated development environment software, ICT system integration, ICT system programming, tools for software configuration management, computer programming, ICT debugging tools","apply ICT systems theory, design user interface, integrate system components, use logic programming, use automatic programming, develop creative ideas, use functional programming, use concurrent programming, use object-oriented programming, utilise computer-aided software engineering tools, monitor system performance, adapt to changes in technological development plans","Puppet (tools for software configuration management), MATLAB, software anomalies, Haskell, Xcode, Microsoft Visual C++, Eclipse (integrated development environment software), Scala, R, VBScript, COBOL, systems theory, AJAX, ML (computer programming), Common Lisp, STAF, Jenkins (tools for software configuration management), SAS language, ASP.NET, Internet of Things, Lisp, ICT security legislation, Ansible, Assembly (computer programming), Scratch (computer programming), Visual Studio .NET, Groovy, TypeScript, Ruby (computer programming), SAP R3, Objective-C, APL, Swift (computer programming), Python (computer programming), Java (computer programming), OpenEdge Advanced Business Language, Prolog (computer programming), JavaScript, C#, KDevelop, C++, Perl, Apache Maven, PHP, object-oriented modelling, Salt (tools for software configuration management), World Wide Web Consortium standards, Pascal (computer programming)",
ICT resilience manager,2529.4,"ICT resilience managers research, plan and develop models, policies, methods, techniques and tools that enhance an organisation's cyber security, resilience and disaster recovery.","manager for disaster recovery, manager for vulnerability, manager for IT resilience, IT resilience manager, ICT resilience managers, vulnerability manager, disaster recovery manager","develop contingency plans for emergencies, analyse the context of an organisation, manage IT security compliances, lead disaster recovery exercises, develop information security strategy, manage disaster recovery plans, implement ICT risk management, comply with legal regulations, analyse business processes, execute ICT audits, implement ICT recovery system, manage system security, perform security vulnerability assessments, identify ICT security risks","cyber security, organisational resilience, system backup best practice, ICT recovery techniques, internal risk management policy","analyse business requirements, coordinate technological activities, define security policies, train employees, provide cost benefit analysis reports, manage budgets, perform project management, advise on strengthening security, apply procurement, build business relationships","human-computer interaction, business process modelling, ICT system user requirements, ICT network security risks, ICT process quality models",
database developer,2521.3,"Database developers program, implement and coordinate changes to computer databases based on their expertise of database management systems.","database developers, data base developer, data base developers, database development engineer, database coder, database design specialist, database programmer","report analysis results, balance database resources, test ICT queries, create data models, identify customer requirements, collect customer feedback on applications, write database documentation, interpret technical texts, perform backups, apply information security policies, estimate duration of work","database development tools, data storage, database management systems, data quality assessment, resource description framework query language, query languages, data extraction, transformation and loading tools","identify ICT security risks, integrate system components, execute ICT audits, perform data mining, manage business knowledge, address problems critically, create solutions to problems, execute integration testing, use software design patterns, execute software tests, verify formal ICT specifications, execute analytical mathematical calculations","C++, SQL Server, LINQ, Haskell, hardware architectures, SAP Data Services, Objective-C, Java (computer programming), SAP R3, Teradata Database, IBM InfoSphere DataStage, DB2, TypeScript, ASP.NET, SPARQL, MySQL, SQL Server Integration Services, CA Datacom/DB, Ruby (computer programming), Microsoft Visual C++, Scala, Lisp, OpenEdge Database, Oracle Data Integrator, QlikView Expressor, IBM Informix, OpenEdge Advanced Business Language, Groovy, Assembly (computer programming), Pascal (computer programming), Oracle Relational Database, ICT infrastructure, Swift (computer programming), ML (computer programming), computer programming, Perl, Erlang, Microsoft Access, Common Lisp, PHP, R, SAS language, Pentaho Data Integration, VBScript, Smalltalk (computer programming), Prolog (computer programming), XQuery, Informatica PowerCenter, CoffeeScript, JavaScript, ABAP, AJAX, COBOL, Visual Studio .NET, Filemaker (database management systems), Oracle Warehouse Builder, Scratch (computer programming), N1QL, PostgreSQL, C#, MATLAB, LDAP, Python (computer programming), APL, MDX, IBM InfoSphere Information Server, ICT power consumption, ObjectStore",
ICT consultant,2511.9,"ICT consultants provide advice on how to optimise the use of existing tools and systems, make recommendations for the development and implementation of a business project or technological solution and contribute to project definitions. They raise awareness on information technology innovations and their potential value to a business. They also participate in the assessment and choice of ICT solutions.","ICT advisor, IT advisor, ICT ERP consultant, IT consultant, ICT consultants","manage standard enterprise resource planning system, provide ICT consulting advice, analyse software specifications, optimise choice of ICT solution, provide user documentation, monitor system performance, manage ICT project, manage changes in ICT system, create project specifications, solve ICT system problems, keep up with the latest information systems solutions, define technical requirements, manage contracts, identify customer requirements, verify formal ICT specifications, analyse ICT system","visual presentation techniques, legal requirements of ICT products, ICT sales methodologies, ICT system integration","interact with users to gather requirements, manage ICT change request process, keep task records, maintain relationship with customers, identify ICT user needs","software components libraries, copyright legislation, ICT process quality models, Process-based management, ICT project management methodologies, hardware components, emergent technologies, systems development life-cycle, Agile project management, Lean project management",
industrial mobile devices software developer,2514.3,"Industrial mobile devices software developers implement applications software for specific, professional industrial mobile (handheld) devices, based on the industry needs, using general or specific development tools for device operating systems.","handheld software developer, industrial mobile devices software programmer, industrial mobile devices software coder, handheld programmer","debug software, develop software prototype, create flowchart diagram, analyse software specifications, use different communication channels, design application interfaces, use software design patterns, utilise computer-aided software engineering tools, use software libraries, interpret technical texts, provide technical documentation","embedded systems, tools for software configuration management, computer programming, ICT debugging tools, Internet of Things, industrial software, mobile operating systems, integrated development environment software","develop creative ideas, integrate system components, use concurrent programming, use functional programming, design user interface, use logic programming, adapt to changes in technological development plans, use automatic programming, identify customer requirements, collect customer feedback on applications, migrate existing data, use object-oriented programming","Puppet (tools for software configuration management), Eclipse (integrated development environment software), Windows Phone, Android (mobile operating systems), ICT security legislation, ABAP, Haskell, JavaScript, iOS, Scala, Ansible, Pascal (computer programming), STAF, OpenEdge Advanced Business Language, Python (computer programming), Salt (tools for software configuration management), AJAX, Xcode, Prolog (computer programming), Common Lisp, KDevelop, software anomalies, COBOL, Microsoft Visual C++, SAP R3, Ruby (computer programming), APL, World Wide Web Consortium standards, Java (computer programming), C#, object-oriented modelling, mobile device software frameworks, SAS language, Apache Maven, Smalltalk (computer programming), C++, Scratch (computer programming), PHP, BlackBerry, Objective-C, Groovy, R, ML (computer programming), Erlang, ASP.NET, TypeScript, Assembly (computer programming), Lisp, Swift (computer programming), Visual Studio .NET, VBScript, CoffeeScript, Perl, Jenkins (tools for software configuration management), MATLAB",
ICT application developer,2514.2,"ICT application developers implement the ICT (software) applications based on the designs provided using application domain specific languages, tools, platforms and experience.","application software developers, application developer, application software engineer, application designer, app software developer, software programmer","identify customer requirements, create flowchart diagram, debug software, use software libraries, propose ICT solutions to business problems, provide technical documentation, utilise computer-aided software engineering tools, develop software prototype, analyse software specifications, interpret technical texts, manage business knowledge, develop automated migration methods, use software design patterns","tools for software configuration management, computer programming, service-oriented modelling, integrated development environment software, ICT debugging tools","use automatic programming, develop creative ideas, adapt to changes in technological development plans, migrate existing data, use logic programming, integrate system components, collect customer feedback on applications, use concurrent programming, design user interface, use functional programming, use object-oriented programming","ML (computer programming), Hybrid model, Apache Maven, Groovy, Pascal (computer programming), Internet of Things, SAS language, KDevelop, SaaS (service-oriented modelling), Jenkins (tools for software configuration management), ICT security legislation, Common Lisp, Python (computer programming), Ansible, C++, software anomalies, COBOL, Xcode, Open source model, Scala, Ruby (computer programming), Haskell, VBScript, World Wide Web Consortium standards, Scratch (computer programming), ASP.NET, AJAX, SAP R3, Puppet (tools for software configuration management), Visual Studio .NET, Assembly (computer programming), Java (computer programming), C#, PHP, Microsoft Visual C++, MATLAB, Salt (tools for software configuration management), Objective-C, ABAP, Outsourcing model, object-oriented modelling, APL, JavaScript, Lisp, OpenEdge Advanced Business Language, STAF, Eclipse (integrated development environment software), R, Swift (computer programming), Prolog (computer programming), TypeScript, Perl",
ICT system integration consultant,2511.15,"ICT system integration consultants advise on bringing together different systems to interoperate within an organisation for enabling data sharing and reducing redundancy.
","systems integration consultant, system integration consultants, application integration consultant, network integration consultant, systems integration consultants","apply information security policies, integrate ICT data, optimise choice of ICT solution, attend to ICT systems quality, keep up with the latest information systems solutions, consult with business clients, integrate system components, define technical requirements, provide ICT consulting advice, verify formal ICT specifications, manage changes in ICT system, define integration strategy, monitor technology trends, ensure proper document management, monitor system performance, use scripting programming",systems development life-cycle,"track key performance indicators, use different communication channels, write work-related reports, create project specifications, provide technical documentation, build business relationships, educate on data confidentiality, perform project management, manage ICT change request process","software components suppliers, Agile project management, Process-based management, information architecture, engineering processes, ICT system integration, software components libraries, hardware components suppliers, Lean project management, ICT performance analysis methods, hardware components, ICT project management methodologies",
web developer,2513.5,"Web developers develop, implement and document web-accessible software based on the designs provided. They align the client's web presence with its business strategy, troubleshoot software problems and issues and look for ways to improve the application.","web programmer, web application developer, web engineer, web developers, web specialist","use software libraries, implement front-end website design, debug software, collect customer feedback on applications, create flowchart diagram, develop software prototype, translate requirement concepts into visual design, analyse software specifications, interpret technical texts, provide technical documentation, use markup languages, use software design patterns","style sheet languages, World Wide Web Consortium standards, integrated development environment software, web programming, content development processes, computer programming, ICT debugging tools, tools for software configuration management","use functional programming, design user interface, use automatic programming, use logic programming, adapt to changes in technological development plans, migrate existing data, utilise computer-aided software engineering tools, conduct content quality assurance, develop creative ideas, compose description for web elements, use concurrent programming, use object-oriented programming","web application security threats, Common Lisp, Lisp, PHP, Xcode, Scratch (computer programming), TypeScript, C++, Ansible, COBOL, Microsoft Visual C++, software anomalies, ICT security legislation, Erlang, Objective-C, Visual Studio .NET, Smalltalk (computer programming), Swift (computer programming), R, Groovy, Pascal (computer programming), MATLAB, Ruby (computer programming), OpenEdge Advanced Business Language, KDevelop, Eclipse (integrated development environment software), Java (computer programming), JSSS, Sass, Apache Maven, Scala, ML (computer programming), Assembly (computer programming), APL, Perl, AJAX, SAP R3, C#, Haskell, Prolog (computer programming), ASP.NET, Salt (tools for software configuration management), CSS, CoffeeScript, VBScript, JavaScript, object-oriented modelling, STAF, ABAP, Puppet (tools for software configuration management), Python (computer programming), SAS language, Jenkins (tools for software configuration management), LESS",
IT auditor,2511.17,"IT auditors perform audits of information systems, platforms, and operating procedures in accordance with established corporate standards for efficiency, accuracy and security. They evaluate ICT infrastructure in terms of risk to the organisation and establish controls to mitigate loss. They determine and recommend improvements in the current risk management controls and in the implementation of system changes or upgrades.","ICT auditor, IT Quality Appraiser, information technology auditor","prepare financial auditing reports, analyse ICT system, execute ICT audits, perform quality audits, perform security vulnerability assessments, develop audit plan, ensure adherence to organisational ICT standards, improve business processes","organisational resilience, legal requirements of ICT products, ICT security legislation, ICT quality policy, engineering processes, audit techniques, systems development life-cycle, ICT process quality models, product life-cycle, quality standards, ICT security standards","monitor technology trends, apply information security policies, define organisational standards, identify legal requirements, identify ICT security risks, develop documentation in accordance with legal requirements, communicate analytical insights, inform on safety standards, develop ICT workflow, manage IT security compliances","cyber security, ICT accessibility standards, cloud technologies, ICT network security risks, information security strategy, World Wide Web Consortium standards, ICT project management",
ICT network engineer,2523.3,"ICT network engineers implement, maintain and support computer networks. They also perform network modelling, analysis, and planning. They may also design network and computer security measures. They may research and recommend network and data communications hardware and software.","network configurator, networks engineer, networks developer, network developer, networks designer, network engineers","forecast future ICT network needs, debug software, migrate existing data, analyse software specifications, develop automated migration methods, implement ICT network diagnostic tools, use software design patterns, provide technical documentation, apply information security policies, design computer network, collect customer feedback on applications","computer programming, information security strategy, ICT network routing, cloud technologies, ICT debugging tools, mobile operating systems, ICT performance analysis methods","install electronic communication equipment, create flowchart diagram, use object-oriented programming, use functional programming, use automatic programming, develop software prototype, use concurrent programming, adapt to changes in technological development plans, create solutions to problems, use logic programming, develop creative ideas","R, C++, SAP R3, AJAX, Python (computer programming), Objective-C, Ansible, ML (computer programming), Common Lisp, Erlang, Microsoft Visual C++, Scala, STAF, OpenEdge Advanced Business Language, Assembly (computer programming), Eclipse (integrated development environment software), Vagrant, CoffeeScript, Visual Studio .NET, Jenkins (tools for software configuration management), Haskell, Ruby (computer programming), Prolog (computer programming), Groovy, SAS language, COBOL, MATLAB, Scratch (computer programming), ICT problem management techniques, ABAP, APL, Windows Phone, tools for software configuration management, iOS, PHP, Smalltalk (computer programming), Lisp, JavaScript, Android (mobile operating systems), C#, ASP.NET, Java (computer programming), integrated development environment software, Puppet (tools for software configuration management), Apache Maven, network management system tools, Xcode, Salt (tools for software configuration management), Swift (computer programming), Internet of Things, BlackBerry, TypeScript, KDevelop, Pascal (computer programming), VBScript",
software architect,2512.2,"Software architects create the technical design and the functional model of a software system, based on functional specifications. They also design the architecture of the system or different modules and components related to the business' or customer requirements, technical platform, computer language or development environment.","software architects, software designer, application architect","create software design, build business relationships, analyse business requirements, align software with system architectures, collect customer feedback on applications, define software architecture, create flowchart diagram, analyse software specifications, define technical requirements, oversee development of software, provide cost benefit analysis reports, design process, provide technical documentation","systems development life-cycle, tools for software configuration management, unified modelling language, object-oriented modelling, business process modelling","provide ICT consulting advice, use markup languages, design database scheme, apply ICT systems theory, manage staff, perform ICT troubleshooting, perform risk analysis, implement data warehousing techniques, perform resource planning, utilise computer-aided software engineering tools, develop software prototype","Haskell, C++, ASP.NET, Ansible, Apache Maven, Python (computer programming), APL, Pascal (computer programming), Java (computer programming), Objective-C, Lisp, R, TypeScript, Prolog (computer programming), VBScript, web programming, Common Lisp, Erlang, Perl, systems theory, task algorithmisation, JavaScript, Puppet (tools for software configuration management), computer programming, SAS language, SAP R3, ICT project management methodologies, Assembly (computer programming), Scala, Salt (tools for software configuration management), Microsoft Visual C++, ABAP, AJAX, Jenkins (tools for software configuration management), OpenEdge Advanced Business Language, STAF, Ruby (computer programming), Agile project management, Process-based management, Groovy, Scratch (computer programming), ML (computer programming), MATLAB, Lean project management, Swift (computer programming), PHP, Smalltalk (computer programming), C#, ICT security legislation, CoffeeScript, Visual Studio .NET, COBOL",
data analyst,2511.2,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. TheyÂ might prepare reports in the form of visualisations such as graphs, charts, and dashboards.","data warehousing analyst, data analysts, data warehouse analyst, data storage analyst","perform data mining, execute analytical mathematical calculations, collect ICT data, analyse big data, perform data cleansing, define data quality criteria, establish data processes, normalise data, handle data samples, integrate ICT data, interpret current data, manage data, apply statistical analysis techniques, implement data quality processes","visual presentation techniques, information structure, data quality assessment, documentation types, data models, statistics, business intelligence, query languages, information categorisation, unstructured data, information confidentiality, information extraction, data mining, resource description framework query language","report analysis results, gather data for forensic purposes, create data models, manage data collection systems, deliver visual presentation of data","online analytical processing, cloud technologies, web analytics, SPARQL, LINQ, data storage, database, information architecture, N1QL, MDX, XQuery, LDAP",
ICT network architect,2523.2,"ICT network architects design the topology and connectivity of ICT network such as hardware, infrastructure, communication and hardware components.","network designer, network architects","design process, provide technical documentation, assess ICT knowledge, develop creative ideas, define technical requirements, maintain internet protocol configuration, design ICT hardware placement, implement ICT network diagnostic tools, analyse network bandwidth requirements, define ICT network design policies, analyse business requirements, identify suppliers, design computer network, adjust ICT system capacity, maintain information network hardware, forecast future ICT network needs","ICT security legislation, ICT network routing, business process modelling, ICT network security risks, ICT networking hardware","manage staff, monitor communication channels' performance, perform resource planning, provide cost benefit analysis reports, perform ICT troubleshooting, build business relationships, apply technical communication skills","ICT project management methodologies, ICT network simulation, Cisco, legal requirements of ICT products, internet governance, Lean project management, procurement of ICT network equipment, organisational resilience, Agile project management, Process-based management, ICT security standards, network management system tools",
ICT system architect,2511.13,"ICT system architects design architecture, components, modules, interfaces, and data for a multi-components system to meet specified requirements.","ICT systems architect, solution architect, IT systems architect, IT system architect, systems architect, ICT system architects, ICT systems architects, information systems architect","create data models, apply ICT systems theory, define technical requirements, design information system, assess ICT knowledge, manage system testing, design enterprise architecture, acquire system component, manage database, integrate system components, use markup languages, analyse business requirements, align software with system architectures","business process modelling, web programming, systems theory, systems development life-cycle, database development tools, hardware platforms","manage standards for data exchange, build business relationships, perform resource planning, design database scheme, provide technical documentation, design process, apply technical communication skills, provide cost benefit analysis reports, solve ICT system problems, manage staff, use object-oriented programming","Agile project management, TypeScript, Erlang, PHP, Groovy, Lisp, Lean project management, MATLAB, ICT process quality models, SAP R3, ICT system programming, Smalltalk (computer programming), Prolog (computer programming), Scratch (computer programming), APL, Python (computer programming), Haskell, C#, JavaScript, SAS language, OpenEdge Advanced Business Language, computer programming, Common Lisp, ICT project management methodologies, Assembly (computer programming), Microsoft Visual C++, Scala, Java (computer programming), ABAP, Objective-C, ASP.NET, Ruby (computer programming), ICT system integration, COBOL, CoffeeScript, Swift (computer programming), AJAX, task algorithmisation, VBScript, ICT security legislation, information structure, Perl, R, ML (computer programming), Process-based management, Visual Studio .NET, C++, Pascal (computer programming)",
computer scientist,2511.1,"Computer scientists conduct research in computer and information science, directed toward greater knowledge and understanding of fundamental aspects of ICT phenomena. They write research reports and proposals. Computer scientistsÂ also invent and design new approaches to computing technology, find innovative uses for existing technology and studies and solve complex problems in computing.","ICT scientist, computer scientist, IT researcher, ICT science researcher, computers scientist, ICT research scientist, IT research scientist, IT science researcher, ICT researcher, ICT researchers, IT scientist","conduct scholarly research, execute analytical mathematical calculations, conduct research interview, conduct qualitative research, conduct literature research, apply reverse engineering, execute ICT user research activities, synthesise research publications, conduct quantitative research, apply statistical analysis techniques, write research proposals",scientific research methodology,"report analysis results, create solutions to problems, develop professional network, innovate in ICT, perform data mining, process data","SPARQL, LDAP, documentation types, information categorisation, MDX, resource description framework query language, emergent technologies, behavioural science, LINQ, information extraction, N1QL, query languages, business intelligence, innovation processes, data mining, unstructured data, XQuery",
software developer,2512.3,"Software developers implement or program all kinds of software systems based on specifications and designs by using programming languages, tools, and platforms.","application developer, application programmer, solutions developer, programmer, software specialist, application software developer, software developers, software engineer, applications engineer, soft developer, developer of software","develop software prototype, perform scientific research, create flowchart diagram, utilise computer-aided software engineering tools, identify customer requirements, manage engineering project, use software design patterns, provide technical documentation, use technical drawing software, debug software, use software libraries, interpret technical requirements, define technical requirements, analyse software specifications, develop automated migration methods","ICT debugging tools, integrated development environment software, computer programming, tools for software configuration management, technical drawings, engineering processes, project management, engineering principles","use object-oriented programming, use functional programming, design user interface, migrate existing data, use logic programming, collect customer feedback on applications, adapt to changes in technological development plans, integrate system components, develop creative ideas, use concurrent programming, use automatic programming, utilise machine learning","Ansible, object-oriented modelling, Scala, Pascal (computer programming), Scratch (computer programming), Assembly (computer programming), C#, Haskell, Erlang, ICT security legislation, OpenEdge Advanced Business Language, Internet of Things, Apache Maven, Python (computer programming), Common Lisp, Visual Studio .NET, SAP R3, ML (computer programming), C++, Prolog (computer programming), JavaScript, Java (computer programming), PHP, COBOL, Puppet (tools for software configuration management), Microsoft Visual C++, APL, Salt (tools for software configuration management), KDevelop, SAS language, Smalltalk (computer programming), VBScript, Xcode, Jenkins (tools for software configuration management), ABAP, R, Lisp, software anomalies, World Wide Web Consortium standards, ASP.NET, Swift (computer programming), MATLAB, STAF, AJAX, Eclipse (integrated development environment software), Perl, Objective-C, TypeScript, Ruby (computer programming), Groovy, CoffeeScript",
user experience analyst,2511.18,"User experience analysts assess client interaction and experience and analyse users' behaviours, attitudes, and emotions about the usage of a particular product, system or service. They make proposals for the improvement of the interface and usability of products, systems or services. In doing so, they take into consideration the practical, experiential, affective, meaningful and valuable aspects of humanâ€“computer interaction and product ownership, as well as the person's perceptions of system aspects such as utility, ease of use and efficiency, and user experience dynamics.","user experience officer, user experience analysts, usability analyst","conduct qualitative research, report analysis results, execute ICT user research activities, analyse business requirements, measure customer feedback, provide technical documentation, use experience map, measure software usability, assess users' interaction with ICT applications, create prototype of user experience solutions, conduct quantitative research, conduct research interview","application usability, behavioural science, cognitive psychology, software interaction design, human-computer interaction","forecast future ICT network needs, perform market research, identify ICT user needs, test system accessibility for users with special needs, manage localisation, use access control software, define technical requirements, create website wireframe","visual presentation techniques, XQuery, SPARQL, Agile project management, resource description framework query language, N1QL, LINQ, Lean project management, Process-based management, World Wide Web Consortium standards, online moderation techniques, query languages, MDX, LDAP, ICT project management methodologies, software metrics, ICT system user requirements, web analytics",
ICT business analyst,2511.8,"ICT business analysts are in charge of analysing and designing an organisation's processes and systems, assessing the business model and its integration with technology. They also identify change needs, assess the impact of the change, capture and document requirements and then ensure that these requirements are delivered whilst supporting the business through the implementation process.","ICT business analysts, business process specialist, IT business analyst","define technical requirements, interact with users to gather requirements, identify legal requirements, analyse the context of an organisation, translate requirement concepts into visual design, analyse business requirements, provide cost benefit analysis reports, apply change management, identify customer requirements, create business process models, propose ICT solutions to business problems, implement strategic planning, analyse business processes","business process modelling, product usage risks analysis, legal requirements of ICT products, business requirements techniques","provide user documentation, manage ICT project, execute analytical mathematical calculations, design process","organisational resilience, unstructured data, innovation processes, business strategy concepts, information architecture, ICT market, information categorisation, business intelligence, systems development life-cycle, decision support systems, internal risk management policy, visual presentation techniques, cloud technologies, business ICT systems, information extraction",
computer vision engineer,2511.2,"Computer vision engineers research, design, develop, and train artificial intelligence algorithms and machine learning primitives that understand the content of digital images based on a large amount of data. They apply this understanding to solve different real-world problems such as security, autonomous driving, robotic manufacturing, digital image classification, medical image processing and diagnosis, etc.","computer vision applied scientist, computer vision expert, computer vision project engineer, computer vision specialist, smart technics computer vision engineer","apply statistical analysis techniques, conduct literature research, define technical requirements, deliver visual presentation of data, develop computer vision system, develop data processing applications, develop software prototype, establish data processes, execute analytical mathematical calculations, handle data samples, implement data quality processes, interpret current data, manage data collection systems, normalise data, perform data cleansing, perform dimensionality reduction, report analysis results, use software libraries, utilise computer-aided software engineering tools","Python (computer programming), computer programming, computer simulation, data engineering, data science, digital image processing, digital twin technology, image recognition, integrated development environment software, machine learning, principles of artificial intelligence, scientific computing, statistics","conduct qualitative research, conduct quantitative research, conduct scholarly research, create data models, debug software, define data quality criteria, design user interface, perform data mining, use markup languages","cognitive computing, computer graphics, deep learning, digital systems, image formation, mathematical modelling, quantum computing, query languages, resource description framework query language, signal processing, state estimation",
